,Plant_no,Tray,Variety,Harvest date,Number of leaves,Leaf area on harvest,Fresh weight on harvest,Dried weight (7 days later),harvest_date,im_names_on_270922,im_names_on_041022,im_names_on_111022,im_names_on_181022,im_names_on_251022,im_names_on_011122,im_names_on_081122,harvest_img
0,1,1,desiree,04/10/2022,24.0,152.22,4.4642,0.3609,2022-10-04,IMG_8001.JPG,IMG_8060.JPG,,,,,,IMG_8060.JPG
1,2,1,desiree,18/10/2022,78.0,946.6,22.4404,1.821,2022-10-18,IMG_8002.JPG,IMG_8061.JPG,IMG_8105.JPG,IMG_8188.JPG,,,,IMG_8188.JPG
2,3,1,desiree,11/10/2022,25.0,227.98,7.261,0.4809,2022-10-11,IMG_8003.JPG,IMG_8062.JPG,IMG_8106.JPG,,,,,IMG_8106.JPG
3,4,1,desiree,25/10/2022,125.0,1776.8,38.8021,2.8553,2022-10-25,IMG_8004.JPG,IMG_8063.JPG,IMG_8107.JPG,IMG_8189.JPG,IMG_8251.JPG,,,IMG_8251.JPG
4,5,1,desiree,27/09/2022,,18.93,,,2022-09-27,IMG_8005.JPG,,,,,,,IMG_8005.JPG
5,6,1,desiree,04/10/2022,14.0,58.78,1.4227,0.1334,2022-10-04,IMG_8006.JPG,IMG_8064.JPG,,,,,,IMG_8064.JPG
6,7,1,desiree,18/10/2022,56.0,801.74,17.3576,1.2961,2022-10-18,IMG_8007.JPG,IMG_8065.JPG,IMG_8108.JPG,IMG_8190.JPG,,,,IMG_8190.JPG
7,8,1,desiree,11/10/2022,56.0,602.27,14.4575,1.1793,2022-10-11,IMG_8008.JPG,IMG_8066.JPG,IMG_8109.JPG,,,,,IMG_8109.JPG
8,9,1,desiree,25/10/2022,85.0,1481.14,33.5879,2.2703,2022-10-25,IMG_8009.JPG,IMG_8067.JPG,IMG_8110.JPG,IMG_8192.JPG,IMG_8252.JPG,,,IMG_8252.JPG
9,10,1,desiree,27/09/2022,,63.57,,,2022-09-27,IMG_8010.JPG,,,,,,,IMG_8010.JPG
10,11,1,desiree,04/10/2022,8.0,69.65,1.8289,0.147,2022-10-04,IMG_8011.JPG,IMG_8068.JPG,,,,,,IMG_8068.JPG
11,12,1,desiree,18/10/2022,57.0,1049.87,23.2562,1.6511,2022-10-18,IMG_8012.JPG,IMG_8069.JPG,IMG_8111.JPG,IMG_8193.JPG,,,,IMG_8193.JPG
12,13,1,desiree,11/10/2022,36.0,5.085,12.6635,0.9977,2022-10-11,IMG_8013.JPG,IMG_8070.JPG,IMG_8112.JPG,,,,,IMG_8112.JPG
13,14,1,desiree,25/10/2022,49.0,668.34,13.408,0.8767,2022-10-25,IMG_8014.JPG,IMG_8071.JPG,IMG_8113.JPG,IMG_8194.JPG,IMG_8253.JPG,,,IMG_8253.JPG
14,15,1,desiree,27/09/2022,,19.82,,,2022-09-27,IMG_8015.JPG,,,,,,,IMG_8015.JPG
15,16,2,desiree,11/10/2022,31.0,434.06,10.8724,0.8871,2022-10-11,IMG_8016.JPG,IMG_8072.JPG,IMG_8114.JPG,,,,,IMG_8114.JPG
16,17,2,desiree,04/10/2022,10.0,96.26,2.5044,0.2014,2022-10-04,IMG_8017.JPG,IMG_8073.JPG,,,,,,IMG_8073.JPG
17,18,2,desiree,25/10/2022,109.0,1638.14,36.8702,2.4988,2022-10-25,IMG_8018.JPG,IMG_8074.JPG,IMG_8115.JPG,IMG_8195.JPG,IMG_8254.JPG,,,IMG_8254.JPG
18,19,2,desiree,27/09/2022,,73.5,,,2022-09-27,IMG_8019.JPG,,,,,,,IMG_8019.JPG
19,20,2,desiree,18/10/2022,64.0,1153.66,26.8327,1.8478,2022-10-18,IMG_8020.JPG,IMG_8075.JPG,IMG_8116.JPG,IMG_8196.JPG,,,,IMG_8196.JPG
20,21,2,desiree,11/10/2022,26.0,311.95,7.1515,0.6413,2022-10-11,IMG_8021.JPG,IMG_8076.JPG,IMG_8117.JPG,,,,,IMG_8117.JPG
21,22,2,desiree,04/10/2022,28.0,148.36,1.3061,0.0942,2022-10-04,IMG_8022.JPG,IMG_8077.JPG,,,,,,IMG_8077.JPG
22,23,2,desiree,25/10/2022,85.0,1455.19,29.8882,2.2397,2022-10-25,IMG_8023.JPG,IMG_8078.JPG,IMG_8118.JPG,IMG_8197.JPG,IMG_8255.JPG,,,IMG_8255.JPG
23,24,2,desiree,27/09/2022,,14.25,,,2022-09-27,IMG_8024.JPG,,,,,,,IMG_8024.JPG
24,25,2,desiree,18/10/2022,62.0,881.3,19.528,1.3898,2022-10-18,IMG_8025.JPG,IMG_8079.JPG,IMG_8119.JPG,IMG_8198.JPG,,,,IMG_8198.JPG
25,26,2,desiree,11/10/2022,27.0,403.1,9.8829,0.5313,2022-10-11,IMG_8026.JPG,IMG_8080.JPG,IMG_8120.JPG,,,,,IMG_8120.JPG
26,27,2,desiree,04/10/2022,13.0,169.73,4.57,0.3555,2022-10-04,IMG_8027.JPG,IMG_8081.JPG,,,,,,IMG_8081.JPG
27,28,2,desiree,25/10/2022,94.0,1398.44,28.6703,2.0476,2022-10-25,IMG_8028.JPG,IMG_8082.JPG,IMG_8121.JPG,IMG_8199.JPG,IMG_8256.JPG,,,IMG_8256.JPG
28,29,2,desiree,27/09/2022,,17.67,,,2022-09-27,IMG_8029.JPG,,,,,,,IMG_8029.JPG
29,30,2,desiree,18/10/2022,59.0,1015.37,23.7375,1.6155,2022-10-18,IMG_8030.JPG,IMG_8083.JPG,IMG_8122.JPG,IMG_8200.JPG,,,,IMG_8200.JPG
30,31,3,desiree,18/10/2022,56.0,880.16,20.0948,1.4721,2022-10-18,IMG_8031.JPG,IMG_8084.JPG,IMG_8123.JPG,IMG_8201.JPG,,,,IMG_8201.JPG
31,32,3,desiree,25/10/2022,54.0,948.78,18.6966,1.1931,2022-10-25,IMG_8032.JPG,IMG_8085.JPG,IMG_8124.JPG,IMG_8202.JPG,IMG_8257.JPG,,,IMG_8257.JPG
32,33,3,desiree,27/09/2022,,19.51,,,2022-09-27,IMG_8033.JPG,,,,,,,IMG_8033.JPG
33,34,3,desiree,04/10/2022,6.0,13.04,0.3122,0.0267,2022-10-04,IMG_8034.JPG,IMG_8086.JPG,,,,,,IMG_8086.JPG
34,35,3,desiree,11/10/2022,63.0,649.69,16.3494,1.5228,2022-10-11,IMG_8035.JPG,IMG_8087.JPG,IMG_8125.JPG,,,,,IMG_8125.JPG
35,36,3,desiree,18/10/2022,48.0,767.43,17.119,1.1534,2022-10-18,IMG_8036.JPG,IMG_8088.JPG,IMG_8126.JPG,IMG_8203.JPG,,,,IMG_8203.JPG
36,37,3,desiree,25/10/2022,86.0,1332.34,28.3944,1.9867,2022-10-25,IMG_8037.JPG,IMG_8089.JPG,IMG_8127.JPG,IMG_8204.JPG,IMG_8258.JPG,,,IMG_8258.JPG
37,38,3,desiree,27/09/2022,,41.6,,,2022-09-27,IMG_8038.JPG,,,,,,,IMG_8038.JPG
38,39,3,desiree,04/10/2022,5.0,4.01,0.0913,0.0065,2022-10-04,IMG_8039.JPG,IMG_8090.JPG,,,,,,IMG_8090.JPG
39,40,3,desiree,11/10/2022,11.0,159.91,3.557,0.3026,2022-10-11,IMG_8040.JPG,IMG_8091.JPG,IMG_8128.JPG,,,,,IMG_8128.JPG
40,41,3,desiree,18/10/2022,40.0,528.36,11.6727,0.8305,2022-10-18,IMG_8041.JPG,IMG_8092.JPG,IMG_8129.JPG,IMG_8205.JPG,,,,IMG_8205.JPG
41,42,3,desiree,25/10/2022,72.0,1260.73,27.4254,1.8269,2022-10-25,IMG_8042.JPG,IMG_8093.JPG,IMG_8130.JPG,IMG_8206.JPG,IMG_8259.JPG,,,IMG_8259.JPG
42,43,3,desiree,27/09/2022,,14.38,,,2022-09-27,IMG_8043.JPG,,,,,,,IMG_8043.JPG
43,44,3,desiree,04/10/2022,9.0,78.41,1.9593,0.1642,2022-10-04,IMG_8044.JPG,IMG_8094.JPG,,,,,,IMG_8094.JPG
44,45,3,desiree,11/10/2022,34.0,443.21,10.57,0.988,2022-10-11,IMG_8045.JPG,IMG_8095.JPG,IMG_8131.JPG,,,,,IMG_8131.JPG
45,46,4,desiree,25/10/2022,69.0,951.85,21.1386,1.4017,2022-10-25,IMG_8046.JPG,IMG_8096.JPG,IMG_8132.JPG,IMG_8207.JPG,IMG_8260.JPG,,,IMG_8260.JPG
46,47,4,desiree,27/09/2022,,39.56,,,2022-09-27,IMG_8047.JPG,,,,,,,IMG_8047.JPG
47,48,4,desiree,18/10/2022,64.0,779.56,19.1833,1.5509,2022-10-18,IMG_8048.JPG,IMG_8097.JPG,IMG_8133.JPG,IMG_8208.JPG,,,,IMG_8208.JPG
